Tag	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
LAPTM4B	0	1.1849279795154	0.642	0.053	0	cancer cell	LAPTM4B	0.589
FNBP1L	0	1.17101421757914	0.659	0.058	0	cancer cell	FNBP1L	0.601
MAGI3	0	1.16273846779674	0.614	0.048	0	cancer cell	MAGI3	0.566
DRAM1	0	1.14670271227255	0.677	0.235	0	cancer cell	DRAM1	0.442
TFPI	0	1.13974635692967	0.53	0.049	0	cancer cell	TFPI	0.481
GPRC5A	0	1.13461977280163	0.557	0.036	0	cancer cell	GPRC5A	0.521
KLF5	0	1.13422767134427	0.574	0.044	0	cancer cell	KLF5	0.53
IFT57	0	1.13256114855535	0.646	0.139	0	cancer cell	IFT57	0.507
MBIP	0	1.12393148377767	0.696	0.164	0	cancer cell	MBIP	0.532
LMO3	0	1.11591679776072	0.534	0.03	0	cancer cell	LMO3	0.504
EHF	0	1.1117517755864	0.613	0.03	0	cancer cell	EHF	0.583
SUSD2	0	1.09911846660249	0.524	0.032	0	cancer cell	SUSD2	0.492
TNFSF10	0	1.08777586184678	0.695	0.257	0	cancer cell	TNFSF10	0.438
PERP	0	1.08057380536981	0.568	0.032	0	cancer cell	PERP	0.536
MTUS1	0	1.07333621821032	0.625	0.094	0	cancer cell	MTUS1	0.531
SPINT2	0	1.07321820052481	0.828	0.379	0	cancer cell	SPINT2	0.449
SMIM22	0	1.05949975499752	0.586	0.034	0	cancer cell	SMIM22	0.552
TCEA3	0	1.05100119559064	0.591	0.049	0	cancer cell	TCEA3	0.542
TRAM1	0	1.04449582999043	0.827	0.524	0	cancer cell	TRAM1	0.303
FXYD3	0	1.04319334804987	0.567	0.043	0	cancer cell	FXYD3	0.524
RNF145	0	1.04094826884661	0.84	0.41	0	cancer cell	RNF145	0.43
SELENBP1	0	1.03510958407649	0.543	0.03	0	cancer cell	SELENBP1	0.513
CLIC6	0	1.03067296994482	0.542	0.026	0	cancer cell	CLIC6	0.516
SELENOW	0	1.02614951422253	0.895	0.639	0	cancer cell	SELENOW	0.256
SLC16A7	0	1.02452749335203	0.491	0.046	0	cancer cell	SLC16A7	0.445
SDC4	0	1.01410807616438	0.664	0.167	0	cancer cell	SDC4	0.497
CAPN2	0	1.01311378702522	0.686	0.231	0	cancer cell	CAPN2	0.455
ATP1A1	0	1.01214885366628	0.861	0.476	0	cancer cell	ATP1A1	0.385
CD24	0	1.00944743316763	0.452	0.026	0	cancer cell	CD24	0.426
ASPH	0	1.00420759048061	0.798	0.44	0	cancer cell	ASPH	0.358
MET	0	0.999000765394701	0.531	0.032	0	cancer cell	MET	0.499
AQP1	0	0.994590713276236	0.317	0.037	0	cancer cell	AQP1	0.28
NFIB	0	0.989845358717803	0.547	0.028	0	cancer cell	NFIB	0.519
SDC1	0	0.988253295114613	0.543	0.045	0	cancer cell	SDC1	0.498
IFITM3	0	0.987748317070927	0.898	0.626	0	cancer cell	IFITM3	0.272
EXPH5	0	0.98700547635054	0.549	0.025	0	cancer cell	EXPH5	0.524
MGP	0	0.985995882945633	0.282	0.047	0	cancer cell	MGP	0.235
PRSS8	0	0.984831062588792	0.546	0.035	0	cancer cell	PRSS8	0.511
EZR	0	0.981960373528627	0.821	0.453	0	cancer cell	EZR	0.368
CLDN3	0	0.977245291343031	0.532	0.029	0	cancer cell	CLDN3	0.503
CADM1	0	0.976436011261083	0.598	0.109	0	cancer cell	CADM1	0.489
EFNA1	0	0.974276316337003	0.513	0.029	0	cancer cell	EFNA1	0.484
PLS3	0	0.974200830571563	0.53	0.032	0	cancer cell	PLS3	0.498
TSPAN13	0	0.97248460122884	0.55	0.038	0	cancer cell	TSPAN13	0.512
MECOM	0	0.971588866222195	0.533	0.028	0	cancer cell	MECOM	0.505
NDRG1	0	0.966770398267082	0.512	0.102	0	cancer cell	NDRG1	0.41
FAM13A	0	0.958585834605065	0.561	0.096	0	cancer cell	FAM13A	0.465
MDK	0	0.956723108880658	0.507	0.053	0	cancer cell	MDK	0.454
ZFP36L1	0	0.954978837712703	0.905	0.517	0	cancer cell	ZFP36L1	0.388
MGST1	0	0.954876388239994	0.631	0.185	0	cancer cell	MGST1	0.446
MYO1B	0	0.953849612370603	0.516	0.029	0	cancer cell	MYO1B	0.487
CYB5A	0	0.95111892534359	0.709	0.338	0	cancer cell	CYB5A	0.371
TMEM159	0	0.949405029162075	0.624	0.169	0	cancer cell	TMEM159	0.455
APP	0	0.94814056338871	0.665	0.244	0	cancer cell	APP	0.421
GPR160	0	0.945572935363372	0.551	0.089	0	cancer cell	GPR160	0.462
GDF15	0	0.941807682227692	0.494	0.085	0	cancer cell	GDF15	0.409
CD2AP	0	0.937002644457311	0.695	0.232	0	cancer cell	CD2AP	0.463
ATP11A	0	0.934499114127919	0.624	0.19	0	cancer cell	ATP11A	0.434
APOD	0	0.930077410696122	0.407	0.033	0	cancer cell	APOD	0.374
RAI14	0	0.925160357202187	0.505	0.039	0	cancer cell	RAI14	0.466
TTC3	0	0.920822030467861	0.816	0.498	0	cancer cell	TTC3	0.318
CXADR	0	0.917849031642486	0.481	0.028	0	cancer cell	CXADR	0.453
C1orf116	0	0.915514803778537	0.507	0.024	0	cancer cell	C1orf116	0.483
NEAT1	0	0.913346415059434	0.726	0.477	0	cancer cell	NEAT1	0.249
HES1	0	0.910599441653806	0.693	0.158	0	cancer cell	HES1	0.535
IRX3	0	0.908536848199194	0.462	0.019	0	cancer cell	IRX3	0.443
CCDC186	0	0.908051671102749	0.656	0.224	0	cancer cell	CCDC186	0.432
S100A13	0	0.906223431815703	0.616	0.23	0	cancer cell	S100A13	0.386
OCIAD2	0	0.901601109638272	0.53	0.053	0	cancer cell	OCIAD2	0.477
SLC12A2	0	0.897796727490412	0.51	0.065	0	cancer cell	SLC12A2	0.445
CLDN18	0	0.895073353480644	0.285	0.017	0	cancer cell	CLDN18	0.268
RARRES3	0	0.89419280497984	0.543	0.221	0	cancer cell	RARRES3	0.322
CCND1	0	0.892852607273387	0.551	0.117	0	cancer cell	CCND1	0.434
HMGN3	0	0.892374303514014	0.743	0.404	0	cancer cell	HMGN3	0.339
TSPAN3	0	0.883335714335536	0.774	0.392	0	cancer cell	TSPAN3	0.382
CTSH	0	0.877837842193669	0.914	0.805	0	cancer cell	CTSH	0.109
MUC15	0	0.875502975812798	0.41	0.02	0	cancer cell	MUC15	0.39
CAV2	0	0.874741174545606	0.422	0.024	0	cancer cell	CAV2	0.398
PATJ	0	0.872421151790806	0.476	0.027	0	cancer cell	PATJ	0.449
TPPP3	0	0.868109629353039	0.303	0.022	0	cancer cell	TPPP3	0.281
MACROD2	0	0.866322964433955	0.279	0.023	0	cancer cell	MACROD2	0.256
ALPL	0	0.860081018428478	0.408	0.018	0	cancer cell	ALPL	0.39
SCEL	0	0.860026420970754	0.309	0.022	0	cancer cell	SCEL	0.287
SEZ6L2	0	0.856636708234046	0.482	0.027	0	cancer cell	SEZ6L2	0.455
GLS	0	0.853437048333828	0.498	0.191	0	cancer cell	GLS	0.307
CRIP2	0	0.85232391094853	0.473	0.045	0	cancer cell	CRIP2	0.428
IRX2	0	0.850078481405103	0.463	0.023	0	cancer cell	IRX2	0.44
ATP1B1	0	0.847925154985457	0.819	0.5	0	cancer cell	ATP1B1	0.319
IFI27	0	0.844350145114142	0.853	0.424	0	cancer cell	IFI27	0.429
PPDPF	0	0.842690520405127	0.836	0.654	0	cancer cell	PPDPF	0.182
WLS	0	0.842351851350507	0.468	0.091	0	cancer cell	WLS	0.377
ZNF385B	0	0.839248100634746	0.401	0.016	0	cancer cell	ZNF385B	0.385
LCN2	0	0.838098792952201	0.278	0.02	0	cancer cell	LCN2	0.258
KCNJ15	0	0.835106197500845	0.364	0.022	0	cancer cell	KCNJ15	0.342
USP53	0	0.833312248906913	0.523	0.098	0	cancer cell	USP53	0.425
MACC1	0	0.832673884744261	0.539	0.171	0	cancer cell	MACC1	0.368
SCGB2A1	0	0.827941903655061	0.261	0.015	0	cancer cell	SCGB2A1	0.246
IL6ST	0	0.825622638350643	0.65	0.209	0	cancer cell	IL6ST	0.441
TRIM2	0	0.824612152236788	0.454	0.024	0	cancer cell	TRIM2	0.43
MACF1	0	0.823425343772813	0.708	0.333	0	cancer cell	MACF1	0.375
SYTL2	0	0.822492850339743	0.454	0.039	0	cancer cell	SYTL2	0.415
QPRT	0	0.819731584297737	0.353	0.075	0	cancer cell	QPRT	0.278
CAV1	0	0.819256296483311	0.348	0.034	0	cancer cell	CAV1	0.314
CDC42BPA	0	0.816730720066544	0.48	0.079	0	cancer cell	CDC42BPA	0.401
TMPRSS2	0	0.816113501588686	0.463	0.02	0	cancer cell	TMPRSS2	0.443
LPCAT1	0	0.815302742212404	0.449	0.051	0	cancer cell	LPCAT1	0.398
CYP2B7P	0	0.815196831914778	0.398	0.026	0	cancer cell	CYP2B7P	0.372
RRBP1	0	0.810533915581787	0.841	0.587	0	cancer cell	RRBP1	0.254
ZBTB20	0	0.807980956407315	0.457	0.073	0	cancer cell	ZBTB20	0.384
CTSE	0	0.806633318204896	0.304	0.021	0	cancer cell	CTSE	0.283
FAM184A	0	0.805909491114896	0.406	0.02	0	cancer cell	FAM184A	0.386
CMBL	0	0.802399474573888	0.498	0.092	0	cancer cell	CMBL	0.406
ARHGEF12	0	0.800825511122679	0.499	0.054	0	cancer cell	ARHGEF12	0.445
EGFR	0	0.799869954560129	0.458	0.02	0	cancer cell	EGFR	0.438
TPM1	0	0.799180078733184	0.596	0.187	0	cancer cell	TPM1	0.409
TNFRSF12A	0	0.799127815655593	0.416	0.086	0	cancer cell	TNFRSF12A	0.33
MAOA	0	0.79297985558249	0.438	0.028	0	cancer cell	MAOA	0.41
RB1CC1	0	0.789470822003677	0.66	0.335	0	cancer cell	RB1CC1	0.325
LUC7L3	0	0.788940342058271	0.715	0.4	0	cancer cell	LUC7L3	0.315
PON2	0	0.786145070486047	0.566	0.173	0	cancer cell	PON2	0.393
TMEM125	0	0.785503561050229	0.443	0.022	0	cancer cell	TMEM125	0.421
SPINK5	0	0.784094801898809	0.292	0.019	0	cancer cell	SPINK5	0.273
MPZL2	0	0.777283612882509	0.535	0.123	0	cancer cell	MPZL2	0.412
PRDX5	0	0.772618726277612	0.77	0.473	0	cancer cell	PRDX5	0.297
RAB3IP	0	0.766613321567409	0.359	0.033	0	cancer cell	RAB3IP	0.326
MARVELD2	0	0.766191759744467	0.439	0.024	0	cancer cell	MARVELD2	0.415
AQP4	0	0.765699227902059	0.363	0.016	0	cancer cell	AQP4	0.347
ARHGAP5	0	0.765242235300616	0.617	0.211	0	cancer cell	ARHGAP5	0.406
S100A14	0	0.763084283417326	0.443	0.02	0	cancer cell	S100A14	0.423
PRDX2	0	0.762349625390385	0.559	0.15	0	cancer cell	PRDX2	0.409
RNF19A	0	0.760691188038036	0.557	0.217	0	cancer cell	RNF19A	0.34
PLA2G1B	0	0.752295769642237	0.284	0.012	0	cancer cell	PLA2G1B	0.272
CLDN7	0	0.751669459862341	0.537	0.175	0	cancer cell	CLDN7	0.362
DHCR24	0	0.749482814564543	0.489	0.149	0	cancer cell	DHCR24	0.34
ANK3	0	0.744768766373113	0.412	0.028	0	cancer cell	ANK3	0.384
SMIM14	0	0.742953606358899	0.694	0.36	0	cancer cell	SMIM14	0.334
DSP	0	0.742337588266134	0.397	0.033	0	cancer cell	DSP	0.364
GSPT1	0	0.742178827957124	0.765	0.5	0	cancer cell	GSPT1	0.265
AFDN	0	0.7324858626312	0.521	0.155	0	cancer cell	AFDN	0.366
RERE	0	0.731887410283444	0.537	0.143	0	cancer cell	RERE	0.394
ARFGEF3	0	0.728561623977104	0.389	0.017	0	cancer cell	ARFGEF3	0.372
CDH1	0	0.727451034007675	0.437	0.026	0	cancer cell	CDH1	0.411
MUC21	0	0.726800574286041	0.384	0.017	0	cancer cell	MUC21	0.367
TMEM87A	0	0.725515032980499	0.675	0.321	0	cancer cell	TMEM87A	0.354
ITGA2	0	0.72049579870343	0.282	0.017	0	cancer cell	ITGA2	0.265
ARHGAP12	0	0.716473646402513	0.506	0.114	0	cancer cell	ARHGAP12	0.392
TJP1	0	0.7146793059997	0.425	0.029	0	cancer cell	TJP1	0.396
MGLL	0	0.712598086678092	0.669	0.331	0	cancer cell	MGLL	0.338
FLRT3	0	0.709612629028923	0.368	0.02	0	cancer cell	FLRT3	0.348
TSTD1	0	0.709521436683293	0.503	0.134	0	cancer cell	TSTD1	0.369
TSC22D1	0	0.709439563642908	0.55	0.196	0	cancer cell	TSC22D1	0.354
AQP3	0	0.709115444334175	0.506	0.214	0	cancer cell	AQP3	0.292
GALNT3	0	0.693157644159476	0.401	0.03	0	cancer cell	GALNT3	0.371
SPAG1	0	0.692038014702052	0.347	0.039	0	cancer cell	SPAG1	0.308
PPP1R9A	0	0.688129714311417	0.375	0.019	0	cancer cell	PPP1R9A	0.356
GNG12	0	0.685409630395768	0.448	0.104	0	cancer cell	GNG12	0.344
BCAM	0	0.683866266553003	0.383	0.023	0	cancer cell	BCAM	0.36
FLNB	0	0.682481123979526	0.426	0.053	0	cancer cell	FLNB	0.373
ABLIM1	0	0.681747719242061	0.386	0.026	0	cancer cell	ABLIM1	0.36
PEBP4	0	0.679542466470358	0.258	0.019	0	cancer cell	PEBP4	0.239
CDKL2	0	0.669466746044691	0.362	0.016	0	cancer cell	CDKL2	0.346
DAAM1	0	0.669153800508104	0.516	0.163	0	cancer cell	DAAM1	0.353
GSTP1	0	0.667205708775246	0.933	0.83	0	cancer cell	GSTP1	0.103
CLINT1	0	0.665391321029774	0.686	0.389	0	cancer cell	CLINT1	0.297
TRIM24	0	0.6639831806661	0.531	0.186	0	cancer cell	TRIM24	0.345
MEAF6	0	0.662687182118357	0.518	0.205	0	cancer cell	MEAF6	0.313
CYR61	0	0.660586450766541	0.323	0.016	0	cancer cell	CYR61	0.307
IFITM2	0	0.660184608321343	0.638	0.291	0	cancer cell	IFITM2	0.347
PDLIM1	0	0.659265565490754	0.509	0.156	0	cancer cell	PDLIM1	0.353
TCEA1	0	0.65908686215316	0.742	0.453	0	cancer cell	TCEA1	0.289
SFN	0	0.658947104669009	0.358	0.02	0	cancer cell	SFN	0.338
GOLGB1	0	0.658059471140571	0.862	0.65	0	cancer cell	GOLGB1	0.212
CKB	0	0.657718497031485	0.354	0.026	0	cancer cell	CKB	0.328
IL32	0	0.656348419209297	0.402	0.079	0	cancer cell	IL32	0.323
BAIAP2L1	0	0.652988556365716	0.375	0.016	0	cancer cell	BAIAP2L1	0.359
RHOBTB3	0	0.652434540546023	0.423	0.104	0	cancer cell	RHOBTB3	0.319
ENDOD1	0	0.649315751265908	0.416	0.068	0	cancer cell	ENDOD1	0.348
HMGN1	0	0.646881579296576	0.848	0.634	0	cancer cell	HMGN1	0.214
TOX3	0	0.645799176729945	0.357	0.015	0	cancer cell	TOX3	0.342
NFIA	0	0.645685681165854	0.429	0.09	0	cancer cell	NFIA	0.339
PALM3	0	0.644064074612946	0.339	0.014	0	cancer cell	PALM3	0.325
PARM1	0	0.643429909294624	0.401	0.042	0	cancer cell	PARM1	0.359
MSI2	0	0.639809412177052	0.413	0.066	0	cancer cell	MSI2	0.347
PLPP2	0	0.632925356674244	0.361	0.018	0	cancer cell	PLPP2	0.343
CAMK1D	0	0.632753309080188	0.532	0.218	0	cancer cell	CAMK1D	0.314
WASL	0	0.632171951781264	0.49	0.147	0	cancer cell	WASL	0.343
SDR16C5	0	0.631073687646483	0.357	0.015	0	cancer cell	SDR16C5	0.342
PIBF1	0	0.630504877049562	0.47	0.162	0	cancer cell	PIBF1	0.308
DSG2	0	0.629909806082011	0.347	0.014	0	cancer cell	DSG2	0.333
PXMP4	0	0.629599714591913	0.391	0.088	0	cancer cell	PXMP4	0.303
ARSD	0	0.62876539348188	0.514	0.189	0	cancer cell	ARSD	0.325
RBPMS	0	0.628427256823719	0.35	0.021	0	cancer cell	RBPMS	0.329
CD47	0	0.628173069458548	0.642	0.358	0	cancer cell	CD47	0.284
NEDD4L	0	0.627354132252358	0.372	0.041	0	cancer cell	NEDD4L	0.331
YAP1	0	0.625063175033715	0.371	0.014	0	cancer cell	YAP1	0.357
SH3RF1	0	0.624198098114917	0.377	0.037	0	cancer cell	SH3RF1	0.34
SFTA1P	0	0.621741962360258	0.323	0.016	0	cancer cell	SFTA1P	0.307
SYNE1	0	0.620944464784501	0.41	0.12	0	cancer cell	SYNE1	0.29
TMEM245	0	0.620311762671816	0.447	0.131	0	cancer cell	TMEM245	0.316
GOLGA4	0	0.620200188600626	0.739	0.475	0	cancer cell	GOLGA4	0.264
SLC39A8	0	0.617115915720583	0.408	0.083	0	cancer cell	SLC39A8	0.325
STXBP1	0	0.616659224817548	0.35	0.031	0	cancer cell	STXBP1	0.319
LSR	0	0.615986907185497	0.361	0.027	0	cancer cell	LSR	0.334
LIPH	0	0.615508650211957	0.347	0.016	0	cancer cell	LIPH	0.331
ADI1	0	0.614251052850139	0.566	0.28	0	cancer cell	ADI1	0.286
FOXA2	0	0.613743326412491	0.358	0.014	0	cancer cell	FOXA2	0.344
LCA5	0	0.613306485181291	0.311	0.017	0	cancer cell	LCA5	0.294
PRKCI	0	0.61327605766583	0.386	0.081	0	cancer cell	PRKCI	0.305
SRI	0	0.613104312302322	0.653	0.42	0	cancer cell	SRI	0.233
CEP70	0	0.613051286657738	0.365	0.048	0	cancer cell	CEP70	0.317
MKNK2	0	0.610781564495537	0.484	0.17	0	cancer cell	MKNK2	0.314
ARHGEF38	0	0.609840649126596	0.329	0.015	0	cancer cell	ARHGEF38	0.314
EBAG9	0	0.608120026512743	0.724	0.473	0	cancer cell	EBAG9	0.251
SGMS2	0	0.605899530433558	0.412	0.097	0	cancer cell	SGMS2	0.315
VWA1	0	0.605199663404942	0.368	0.02	0	cancer cell	VWA1	0.348
MARCKSL1	0	0.604849601232447	0.348	0.033	0	cancer cell	MARCKSL1	0.315
NET1	0	0.603732944797813	0.424	0.082	0	cancer cell	NET1	0.342
SMC4	0	0.603463293594363	0.625	0.306	0	cancer cell	SMC4	0.319
LAMB3	0	0.602426371559816	0.317	0.026	0	cancer cell	LAMB3	0.291
SLC44A4	0	0.602196616234122	0.336	0.015	0	cancer cell	SLC44A4	0.321
AKR1C1	0	0.601221641812571	0.293	0.019	0	cancer cell	AKR1C1	0.274
KIAA0319L	0	0.600720293802928	0.444	0.125	0	cancer cell	KIAA0319L	0.319
BMP3	0	0.598430838971951	0.311	0.012	0	cancer cell	BMP3	0.299
HOOK1	0	0.596890604548339	0.329	0.015	0	cancer cell	HOOK1	0.314
ATRX	0	0.596854817149692	0.828	0.638	0	cancer cell	ATRX	0.19
HMGB3	0	0.596106915118095	0.348	0.111	0	cancer cell	HMGB3	0.237
ACSL5	0	0.596026299079174	0.36	0.076	0	cancer cell	ACSL5	0.284
PAWR	0	0.594209427240687	0.347	0.019	0	cancer cell	PAWR	0.328
SPTBN1	0	0.593297503443279	0.383	0.058	0	cancer cell	SPTBN1	0.325
ZRANB2	0	0.591615537889144	0.696	0.449	0	cancer cell	ZRANB2	0.247
PPA1	0	0.588656806402158	0.574	0.259	0	cancer cell	PPA1	0.315
SHROOM3	0	0.586795728843967	0.33	0.025	0	cancer cell	SHROOM3	0.305
PLEKHA5	0	0.586613535021829	0.35	0.039	0	cancer cell	PLEKHA5	0.311
SYAP1	0	0.585070953135792	0.71	0.453	0	cancer cell	SYAP1	0.257
LPP	0	0.581969562421052	0.487	0.198	0	cancer cell	LPP	0.289
CAPN8	0	0.581946439714819	0.331	0.013	0	cancer cell	CAPN8	0.318
SERINC2	0	0.581833820414839	0.483	0.191	0	cancer cell	SERINC2	0.292
H1F0	0	0.580702048874	0.363	0.07	0	cancer cell	H1F0	0.293
DYNC1LI2	0	0.579626376995919	0.55	0.251	0	cancer cell	DYNC1LI2	0.299
OFD1	0	0.579412769546092	0.47	0.155	0	cancer cell	OFD1	0.315
SLFN5	0	0.578654476548939	0.566	0.28	0	cancer cell	SLFN5	0.286
BNIP3	0	0.578002821627461	0.412	0.077	0	cancer cell	BNIP3	0.335
ZNF486	0	0.577320336238299	0.294	0.05	0	cancer cell	ZNF486	0.244
SEC62	0	0.577237502577274	0.87	0.743	0	cancer cell	SEC62	0.127
SMAD5	0	0.576673880803573	0.391	0.096	0	cancer cell	SMAD5	0.295
THUMPD1	0	0.57666864173603	0.539	0.243	0	cancer cell	THUMPD1	0.296
ERRFI1	0	0.576598914079417	0.361	0.047	0	cancer cell	ERRFI1	0.314
VEPH1	0	0.576147660799366	0.264	0.012	0	cancer cell	VEPH1	0.252
MYO5C	0	0.575946701529297	0.324	0.019	0	cancer cell	MYO5C	0.305
PTPRK	0	0.573587729405333	0.318	0.016	0	cancer cell	PTPRK	0.302
MT-RNR1	0	0.572382668103945	0.999	0.997	0	cancer cell	MT-RNR1	0.002
FAM210B	0	0.570897008318984	0.47	0.191	0	cancer cell	FAM210B	0.279
ODF2L	0	0.570542668674366	0.398	0.134	0	cancer cell	ODF2L	0.264
CCDC6	0	0.570087213885009	0.517	0.233	0	cancer cell	CCDC6	0.284
CADPS2	0	0.566010257151053	0.339	0.026	0	cancer cell	CADPS2	0.313
TESC	0	0.565917453927263	0.303	0.019	0	cancer cell	TESC	0.284
BFAR	0	0.565911588838858	0.583	0.333	0	cancer cell	BFAR	0.25
MAGI1	0	0.564424314940105	0.308	0.014	0	cancer cell	MAGI1	0.294
KTN1	0	0.563951806998935	0.927	0.796	0	cancer cell	KTN1	0.131
FAM107B	0	0.563731644828054	0.55	0.268	0	cancer cell	FAM107B	0.282
PHIP	0	0.562287281007259	0.62	0.356	0	cancer cell	PHIP	0.264
KIAA1217	0	0.562182760788664	0.315	0.013	0	cancer cell	KIAA1217	0.302
HSPB1	0	0.561459588591872	0.928	0.847	0	cancer cell	HSPB1	0.0810000000000001
ITGB6	0	0.561059576359303	0.284	0.012	0	cancer cell	ITGB6	0.272
TRIP11	0	0.558828990882007	0.619	0.346	0	cancer cell	TRIP11	0.273
CAVIN21	0	0.558784210424874	0.294	0.029	0	cancer cell	CAVIN2	0.265
NEDD9	0	0.557808234884964	0.34	0.073	0	cancer cell	NEDD9	0.267
CEBPD	0	0.556743883986738	0.713	0.403	0	cancer cell	CEBPD	0.31
YPEL3	0	0.556391302735338	0.447	0.129	0	cancer cell	YPEL3	0.318
KRTCAP3	0	0.555319398545242	0.316	0.016	0	cancer cell	KRTCAP3	0.3
SMARCA1	0	0.554603197519068	0.31	0.014	0	cancer cell	SMARCA1	0.296
ASH1L	0	0.551036369379768	0.546	0.25	0	cancer cell	ASH1L	0.296
FGD6	0	0.550511851910853	0.363	0.094	0	cancer cell	FGD6	0.269
PLA2G10	0	0.54982112326733	0.292	0.013	0	cancer cell	PLA2G10	0.279
ADD3	0	0.547960713286658	0.456	0.177	0	cancer cell	ADD3	0.279
DMKN	0	0.547720739245525	0.31	0.013	0	cancer cell	DMKN	0.297
KDM5B	0	0.546722434776436	0.396	0.093	0	cancer cell	KDM5B	0.303
PGRMC1	0	0.546715038338598	0.523	0.234	0	cancer cell	PGRMC1	0.289
PTK2	0	0.545061368430114	0.334	0.036	0	cancer cell	PTK2	0.298
SORBS2	0	0.544789686694434	0.303	0.013	0	cancer cell	SORBS2	0.29
PDXDC1	0	0.544730534958848	0.548	0.245	0	cancer cell	PDXDC1	0.303
CNN3	0	0.543100822734501	0.341	0.019	0	cancer cell	CNN3	0.322
CREBBP	0	0.542848245215049	0.481	0.208	0	cancer cell	CREBBP	0.273
HECTD1	0	0.540310733453494	0.589	0.317	0	cancer cell	HECTD1	0.272
MAST4	0	0.535978198110513	0.327	0.047	0	cancer cell	MAST4	0.28
RAMP1	0	0.533879584889988	0.3	0.021	0	cancer cell	RAMP1	0.279
EPS8L2	0	0.532843439165984	0.311	0.015	0	cancer cell	EPS8L2	0.296
CD46	0	0.530399545856766	0.75	0.537	0	cancer cell	CD46	0.213
SEC63	0	0.529206420224418	0.625	0.368	0	cancer cell	SEC63	0.257
AQP5	0	0.528904867853419	0.271	0.013	0	cancer cell	AQP5	0.258
RASD1	0	0.527991574748044	0.273	0.026	0	cancer cell	RASD1	0.247
RAB25	0	0.527793260455781	0.314	0.012	0	cancer cell	RAB25	0.302
PARD3	0	0.527009010737821	0.293	0.012	0	cancer cell	PARD3	0.281
PHF14	0	0.526723765098356	0.581	0.3	0	cancer cell	PHF14	0.281
ALCAM	0	0.525586062922578	0.908	0.745	0	cancer cell	ALCAM	0.163
MAP9	0	0.524302299717857	0.291	0.02	0	cancer cell	MAP9	0.271
MLLT3	0	0.523237999436588	0.338	0.055	0	cancer cell	MLLT3	0.283
SLC4A4	0	0.522197589984525	0.258	0.01	0	cancer cell	SLC4A4	0.248
GFPT1	0	0.521842578706935	0.374	0.098	0	cancer cell	GFPT1	0.276
CAMK2D	0	0.520175697946279	0.429	0.148	0	cancer cell	CAMK2D	0.281
CFH	0	0.520154854813832	0.267	0.049	0	cancer cell	CFH	0.218
ZDHHC9	0	0.518774217514275	0.341	0.053	0	cancer cell	ZDHHC9	0.288
ETV1	0	0.518426997280746	0.279	0.012	0	cancer cell	ETV1	0.267
FAM114A1	0	0.518115855958134	0.375	0.095	0	cancer cell	FAM114A1	0.28
CYB561	0	0.518112307126274	0.336	0.05	0	cancer cell	CYB561	0.286
LGALS3BP	0	0.51794331906156	0.772	0.548	0	cancer cell	LGALS3BP	0.224
CCDC47	0	0.516731746368511	0.624	0.367	0	cancer cell	CCDC47	0.257
RASEF	0	0.516710518024531	0.29	0.012	0	cancer cell	RASEF	0.278
JPT2	0	0.516212839123576	0.344	0.062	0	cancer cell	JPT2	0.282
PCYOX1	0	0.514587009947388	0.443	0.178	0	cancer cell	PCYOX1	0.265
NTHL1	0	0.512372440042071	0.307	0.062	0	cancer cell	NTHL1	0.245
STK3	0	0.511890889247637	0.388	0.123	0	cancer cell	STK3	0.265
SCNN1B	0	0.511693507818958	0.275	0.015	0	cancer cell	SCNN1B	0.26
CFAP221	0	0.507713102286867	0.274	0.011	0	cancer cell	CFAP221	0.263
BEX2	0	0.506436043533953	0.294	0.018	0	cancer cell	BEX2	0.276
KIAA1522	0	0.506302381338739	0.318	0.024	0	cancer cell	KIAA1522	0.294
PAM	0	0.505551290970098	0.338	0.077	0	cancer cell	PAM	0.261
RPS6KA3	0	0.504094675842571	0.483	0.208	0	cancer cell	RPS6KA3	0.275
MYO10	0	0.500662924826134	0.298	0.027	0	cancer cell	MYO10	0.271
RBFOX2	0	0.50063963740411	0.302	0.032	0	cancer cell	RBFOX2	0.27
GCC2	7.88986439183789e-305	0.516325261118994	0.748	0.52	2.04915557984814e-300	cancer cell	GCC2	0.228
UXS1	8.87573766558081e-305	0.502443289155242	0.482	0.225	2.30520658650465e-300	cancer cell	UXS1	0.257
LRRK2	7.59240422765849e-302	0.751784444461163	0.318	0.103	1.97189922600746e-297	cancer cell	LRRK2	0.215
CPM	1.05835390809256e-301	0.721966325077894	0.79	0.624	2.748756770098e-297	cancer cell	CPM	0.166
SRSF10	2.04626114671905e-300	0.538983160056989	0.599	0.347	5.31454945025872e-296	cancer cell	SRSF10	0.252
CFLAR	1.97139766898771e-298	0.509838140987007	0.652	0.403	5.12011402589489e-294	cancer cell	CFLAR	0.249
EFCAB14	4.55160096218173e-297	0.508543560429258	0.597	0.349	1.18214180189784e-292	cancer cell	EFCAB14	0.248
PTP4A2	1.35809072967312e-295	0.503267146693888	0.647	0.405	3.52723324310702e-291	cancer cell	PTP4A2	0.242
UTRN	3.70908706522153e-295	0.560543259350286	0.59	0.339	9.63324092579335e-291	cancer cell	UTRN	0.251
METAP2	2.66650035403729e-293	0.567685542945637	0.651	0.429	6.92543471950566e-289	cancer cell	METAP2	0.222
